id,source_line_or_heading,prioridad_wset,estilo_wset,pais,region,appellation,variedad,categoria,estado,perfiles_cwp,nota
WSET_STYLE_001,1520,Imprescindible,Bordeaux AC genérico tinto,France,Bordeaux,Bordeaux AC,Cabernet Sauvignon / Merlot / Cabernet Franc,tinto,CUBIERTO,SAT_WINE_071,"Batch 010 agrega un perfil genérico Bordeaux AC tinto; se mantienen Left Bank y Right Bank como perfiles premium separados."
WSET_STYLE_002,1521,Imprescindible,Cru Bourgeois o Haut-Médoc Cru Classé,France,Bordeaux,Haut-Médoc / Médoc,Cabernet Sauvignon-dominant blend,tinto,CUBIERTO,SAT_WINE_052,Perfil Left Bank Bordeaux cubre Médoc/Graves y Cabernet Sauvignon dominante.
WSET_STYLE_003,1522,Imprescindible,Saint-Émilion Grand Cru o Pomerol,France,Bordeaux,Saint-Émilion Grand Cru / Pomerol,Merlot-dominant blend,tinto,CUBIERTO,SAT_WINE_053,Perfil Right Bank Bordeaux cubre Saint-Émilion y Pomerol.
WSET_STYLE_004,1526,Imprescindible,Sauternes o Barsac,France,Bordeaux,Sauternes / Barsac,Sémillon / Sauvignon Blanc / Muscadelle,dulce,CUBIERTO,SAT_WINE_072,Batch 010 agrega Bordeaux dulce botrytizado representativo.
WSET_STYLE_005,1532,Opcional,"Saint-Émilion, Pomerol o Haut-Médoc de añada más antigua",France,Bordeaux,Saint-Émilion / Pomerol / Haut-Médoc,Bordeaux blend,tinto,PARCIALMENTE CUBIERTO,SAT_WINE_052; SAT_WINE_053,"Hay perfiles de origen, pero no perfil específico de evolución por añada antigua."
WSET_STYLE_006,1536,Opcional,Bordeaux AC genérico blanco seco,France,Bordeaux,Bordeaux AC,Sauvignon Blanc / Sémillon,blanco,FALTANTE,,No hay perfil de Bordeaux blanco seco.
WSET_STYLE_007,1537,Opcional,Graves o Pessac-Léognan blanco seco con roble,France,Bordeaux,Graves / Pessac-Léognan,Sauvignon Blanc / Sémillon,blanco,FALTANTE,,No hay perfil de Bordeaux blanco seco con crianza en roble.
WSET_STYLE_008,1544,Opcional,Cahors o Madiran,France,Dordogne / South West France,Cahors / Madiran,Malbec / Tannat,tinto,FALTANTE,,Sudoeste francés no está representado.
WSET_STYLE_009,1562,Imprescindible,Bourgogne Rouge AC,France,Burgundy,Bourgogne Rouge,Pinot Noir,tinto,CUBIERTO,SAT_WINE_073,Batch 010 agrega Bourgogne Rouge genérico separado del perfil Côte d'Or premium.
WSET_STYLE_010,1563,Imprescindible,Côte d’Or Village o Premier Cru tinto,France,Burgundy,Côte d’Or Village / Premier Cru,Pinot Noir,tinto,CUBIERTO,SAT_WINE_054,Perfil Côte d'Or Red Burgundy cubre village/premier/grand cru.
WSET_STYLE_011,1564,Imprescindible,"Beaujolais AC, Beaujolais Villages o Cru",France,Beaujolais,Beaujolais / Villages / Cru,Gamay,tinto,CUBIERTO,SAT_WINE_055,Perfil Beaujolais Villages / Cru cubre el estilo.
WSET_STYLE_012,1566,Imprescindible,Chablis Village o Premier Cru,France,Burgundy,Chablis,Chardonnay,blanco,CUBIERTO,SAT_WINE_001,Perfil Chablis cubre village/premier/grand cru.
WSET_STYLE_013,1567,Imprescindible,Côte d’Or Village o Premier Cru blanco,France,Burgundy,Meursault / Puligny-Montrachet / Chassagne-Montrachet,Chardonnay,blanco,CUBIERTO,SAT_WINE_002,Perfil Côte de Beaune white Burgundy cubre el estilo.
WSET_STYLE_014,1569,Opcional,Otro vino de Beaujolais,France,Beaujolais,Beaujolais,Gamay,tinto,PARCIALMENTE CUBIERTO,SAT_WINE_055,"El catálogo cubre Villages/Cru, no un Beaujolais AC separado."
WSET_STYLE_015,1571,Opcional,Mâcon o Mâcon Villages,France,Burgundy,Mâcon / Mâcon Villages,Chardonnay,blanco,CUBIERTO,SAT_WINE_003,Perfil Mâcon / Mâcon Villages cubre el estilo.
WSET_STYLE_016,1576-1577,Imprescindible,Alsace Riesling seco o casi seco,France,Alsace,Alsace / Alsace Grand Cru,Riesling,blanco,CUBIERTO,SAT_WINE_005,Perfil Alsace Riesling cubre seco a off-dry.
WSET_STYLE_017,1576-1578,Imprescindible,Alsace Gewurztraminer seco o casi seco,France,Alsace,Alsace / Alsace Grand Cru,Gewurztraminer,blanco,CUBIERTO,SAT_WINE_006,Perfil Alsace Gewurztraminer cubre el estilo.
